timestamp,event,block_id
1706696589562,start,nan
1706696593222,grasp,7
1706696594799,release,7
1706696596598,grasp,6
1706696598362,release,6
1706696599692,grasp,11
1706696601665,release,11
1706696602391,grasp,11
1706696603467,release,11
1706696605392,grasp,10
1706696607387,release,10
1706696608524,grasp,9
1706696610728,release,9
1706696612832,grasp,5
1706696614788,release,5
1706696616330,grasp,2
1706696618193,release,2
1706696619790,grasp,1
1706696621655,release,1
1706696623326,grasp,0
1706696625263,release,0
1706696625529,end,nan
