timestamp,event,block_id
1704723467046,start,nan
1704723477188,grasp,11
1704723482124,release,11
1704723477188,grasp,10
1704723482124,release,10
1704723485778,grasp,9
1704723490211,release,9
1704723496055,grasp,8
1704723499917,release,8
1704723505317,grasp,21
1704723511647,release,21
1704723515647,grasp,22
1704723519556,release,22
1704723523659,grasp,23
1704723527556,release,23
1704723531751,grasp,18
1704723535020,release,18
1704723539289,grasp,19
1704723541944,release,19
1704723545814,grasp,20
1704723548649,release,20
1704723550619,end,nan
