timestamp,event,block_id
1705670434553,start,nan
1705670441830,grasp,13
1705670444318,release,13
1705670446232,grasp,14
1705670447703,release,14
1705670450501,grasp,18
1705670452714,release,18
1705670455105,grasp,21
1705670458626,release,21
1705670461907,grasp,22
1705670464401,release,22
1705670466933,grasp,19
1705670468858,release,19
1705670471424,grasp,11
1705670475329,release,11
1705670477851,grasp,8
1705670480042,release,8
1705670482776,grasp,2
1705670487399,release,2
1705670489856,grasp,1
1705670492548,release,1
1705670495029,grasp,0
1705670497527,release,0
1705670500599,grasp,10
1705670503492,release,10
1705670504780,end,nan
