timestamp,event,block_id
1702297552067,start,nan
1702297559434,grasp,12
1702297561636,release,12
1702297564330,grasp,13
1702297567537,release,13
1702297570330,grasp,14
1702297572204,release,14
1702297575107,grasp,2
1702297577163,release,2
1702297579333,grasp,1
1702297581467,release,1
1702297582904,grasp,1
1702297584363,release,1
1702297587101,grasp,0
1702297589465,release,0
1702297592763,grasp,8
1702297594945,release,8
1702297597071,grasp,7
1702297599043,release,7
1702297600835,grasp,6
1702297602768,release,6
1702297604076,end,nan
