id,setup,position,pupil,fovio,tobii,car,tb,house,sc,tc,tsb
62449968,head_mounted,sitting,impossible,NA,NA,0,0,0,0,0,0
41804101,head_mounted,sitting,impossible,NA,NA,0,0,0,0,0,0
36594506,head_mounted,sitting,impossible,NA,NA,0,0,0,0,0,0
69907732,head_mounted,sitting,no_issue,NA,NA,1,1,1,1,1,1
6184491,head_mounted,sitting,slight_issues,NA,NA,1,1,1,1,1,1
19125832,head_mounted,sitting,no_issue,NA,NA,0,1,1,1,1,1
21053630,head_mounted,sitting,no_issue,NA,NA,1,1,1,1,1,1
21153321,head_mounted,sitting,slight_issues,NA,NA,1,1,1,1,1,1
27194039,head_mounted,sitting,slight_issues,NA,NA,1,1,1,1,1,1
27011494,head_mounted,sitting,severe_issues,NA,NA,1,1,1,1,1,1
51230424,head_mounted,sitting,slight_issues,NA,NA,1,1,1,1,1,1
89364598,head_mounted,sitting,no_issue,NA,NA,1,1,1,1,1,1
68635455,head_mounted,sitting,slight_issues,NA,NA,1,1,1,1,1,1
74765700,head_mounted,sitting,no_issue,NA,NA,1,1,1,1,1,1
96434938,head_mounted,sitting,no_issue,NA,NA,1,1,1,1,1,1
98811232,head_mounted,sitting,severe_issues,NA,NA,1,1,1,1,1,1
21347602,head_mounted,sitting,severe_issues,NA,NA,1,1,1,1,1,1
21843109,head_mounted,sitting,no_issue,NA,NA,1,1,1,1,1,1
41271188,head_mounted,sitting,severe_issues,NA,NA,1,1,1,1,1,1
39877408,head_mounted,sitting,no_issue,NA,NA,1,1,1,1,1,1
62434514,head_mounted,standing,severe_issues,NA,NA,1,1,1,1,1,1
46309944,head_mounted,standing,no_issue,NA,NA,1,1,1,1,1,1
34055055,head_mounted,standing,no_issue,NA,NA,1,1,1,1,1,1
98655811,head_mounted,standing,no_issue,NA,NA,1,1,1,1,1,1
44376077,head_mounted,standing,impossible,NA,NA,0,0,0,0,0,0
26300024,head_mounted,standing,no_issue,NA,NA,1,1,1,1,1,1
98208696,head_mounted,standing,no_issue,NA,NA,1,1,1,1,1,1
64547051,head_mounted,standing,no_issue,NA,NA,1,1,1,1,1,1
96783900,head_mounted,standing,slight_issues,NA,NA,1,1,1,1,1,1
245213,head_mounted,standing,no_issue,NA,NA,1,1,1,1,1,1
49201083,head_mounted,standing,no_issue,NA,NA,1,1,1,1,1,1
68685044,head_mounted,standing,no_issue,NA,NA,1,1,1,1,1,1
60573592,head_mounted,standing,impossible,NA,NA,0,0,0,0,0,0
53605771,head_mounted,standing,impossible,NA,NA,0,0,0,0,0,0
